country_code,year,P,G,g,E,F,e,f,ef
JPN,1965,0.09888300000000001,1.24546988705225,12.595389369782975,6.114037126709006,446.77065999826,4.909020434993873,73.07293867198719,358.71654918583914
JPN,1966,0.09979,1.37796996768715,13.808697942550856,6.814151773170385,492.64876431253583,4.9450655188135775,72.29788544661717,357.51778040520054
JPN,1967,0.10072500000000001,1.53067856069777,15.196610183149861,7.835958715863892,578.0241732568444,5.1192712285013116,73.76559706556837,377.62609871098493
JPN,1968,0.10106100000000001,1.72786773857979,17.09727529491881,8.69276070171488,641.4921655084958,5.03091788082104,73.79613767372479,371.26230855827316
JPN,1969,0.103172,1.94346925234982,18.837177260786067,9.972239956637797,731.3508937353441,5.131153963244085,73.33867786129004,376.31204756703954
JPN,1970,0.10434500000000001,1.92364755989684,18.435455075919688,11.11554358966347,810.5230935904638,5.778368044850985,72.91798975483148,421.34698189408977
JPN,1971,0.10569700000000001,2.0140396056567598,19.0548417235755,11.80621341935018,845.3499329031478,5.8619569278531065,71.60212194009925,419.72855475574767
JPN,1972,0.107188,2.18349177961805,20.37067376588844,12.396015435550758,880.9162973730403,5.67715232604134,71.06447244706105,403.4438350517333
JPN,1973,0.10807900000000001,2.3588829397535602,21.82554372036714,13.828032464095894,994.9825751557601,5.862110506229933,71.95402366455276,421.802438089492
JPN,1974,0.11016200000000001,2.3299809664914704,21.150496237282095,13.789635275563514,985.6968631797757,5.918346747839837,71.48099594240323,423.0493198680747
JPN,1975,0.11194000000000001,2.40201409690433,21.4580498204782,13.135872256971608,923.5603353752844,5.4686907432811775,70.30826102051371,384.4941362190802
JPN,1976,0.11277100000000001,2.49749377511987,22.14659597875225,13.681373018566763,951.1999551644803,5.47804088837423,69.52518244138382,380.8617921855787
JPN,1977,0.113863,2.60714219213345,22.89718514472173,13.657477420173395,954.95931584672,5.238485826121109,69.9220863756402,366.2858584116071
JPN,1978,0.11489800000000001,2.74458920340112,23.88717996310745,14.040371840643454,934.1899428399424,5.115655130918863,66.5359830525065,340.3751430932854
JPN,1979,0.11587,2.89510362344444,24.98579117497575,14.581898751195123,959.6920725309666,5.036745017729748,65.81393060710361,331.48798708254054
JPN,1980,0.11678200000000001,2.9766758085893796,25.489166212167795,14.13495436039224,931.7459272413404,4.748570307725473,65.91785891097032,313.0155875734706
JPN,1981,0.117648,3.1010069121914303,26.35834788684406,13.890621895793512,926.6435050927499,4.479390820182738,66.7100085254905,298.8201998033943
JPN,1982,0.11844900000000001,3.2057157688638798,27.064101586876035,13.409422099225564,873.9641840013534,4.182972872850148,65.17538023147378,272.62684748594864
JPN,1983,0.119259,3.3038343307164704,27.703018897663657,13.53853545600889,874.5161250897954,4.0978251633679585,64.59458838301846,264.69732969332864
JPN,1984,0.12001800000000001,3.4513141588923397,28.756637828428563,14.585143025753688,966.0260140264289,4.225967951417852,66.23356468432777,279.9009216641304
JPN,1985,0.12075400000000001,3.66989820192613,30.391524934380058,14.66536392469781,943.0680102573057,3.9961228126166435,64.30580346315806,256.97388820276825
JPN,1986,0.121492,3.7737958326632404,31.062093246166334,14.71145600514255,932.9934570359009,3.8983179423250336,63.41951855137676,247.22944706244732
JPN,1987,0.122091,3.92880174402618,32.179290398360074,15.049763212757453,939.3330154350306,3.8306242445653846,62.41513585002935,239.08893261496453
JPN,1988,0.12261300000000001,4.20958117104063,34.33225817034596,15.934069232769513,1012.4587908383696,3.785191111739634,63.54050406384442,240.51295121792006
JPN,1989,0.123116,4.4356421003345,36.02815312660012,16.53437975554751,1040.0767043640988,3.727618094864015,62.90388389169173,234.48165583189515
JPN,1990,0.12353700000000001,4.68281374530551,37.90616370241717,17.237905453547747,1091.3101339714565,3.6810999521022234,63.308743449851846,233.04581248090162
JPN,1991,0.123921,4.83848643204949,39.044927268578284,17.649124858694364,1102.0054739396026,3.647654097320375,62.43966671224095,227.75830611822434
JPN,1992,0.124229,4.87811508064234,39.26712024279629,17.86305637075205,1111.8877129950326,3.6618767854898335,62.24509904226548,227.93388319338746
JPN,1993,0.12453600000000001,4.886459716967019,39.23732669241841,18.103996127262253,1102.559898226066,3.7049310085173968,60.90146564745198,225.6357285414019
JPN,1994,0.124961,4.92865811997226,39.44157072984579,18.83482737902721,1165.3112690934818,3.8214919599927977,61.870026501600364,236.43580884040713
JPN,1995,0.125439,5.06381000011905,40.36870510861096,19.508638391094237,1180.2385251092246,3.852561290932241,60.498252181864615,233.07322452490862
JPN,1996,0.125757,5.22078456279301,41.514862495073906,19.88248730109666,1200.2973790834812,3.8083332230931877,60.36957855958375,229.907471692597
JPN,1997,0.126057,5.27698691972049,41.86191103802637,20.196791173863605,1198.6888763888126,3.827333946647983,59.350461470335915,227.15403593463984
JPN,1998,0.1264,5.217422593014629,41.27707747638156,19.814828822356667,1163.653698155919,3.7978194154496596,58.72640680312071,223.0322879564868
JPN,1999,0.12663100000000002,5.2042759241546,41.09796119555716,20.111542034791757,1196.978060671235,3.8644265461498843,59.51697083199961,229.99896202960767
JPN,2000,0.126843,5.34893098765178,42.16969787573441,20.323119863172497,1218.2396886601905,3.799473186341201,59.9435370583904,227.75386174780442
JPN,2001,0.127149,5.3706609901028,42.239113088603126,20.177669743726717,1209.6488959116189,3.7570179501016123,59.94988079769228,225.23277826338187
JPN,2002,0.127445,5.37700378284202,42.19077863268092,20.15654189679336,1215.1167009644646,3.7486568190844016,60.28398656804189,225.98397732988272
JPN,2003,0.127718,5.459177414223929,42.74399391020788,20.100415870356446,1256.1762558144574,3.6819495585515605,62.49503810849169,230.10357797522394
JPN,2004,0.127761,5.579537554151219,43.67168035747387,20.362799354418144,1242.4947288565359,3.6495496547501616,61.01787417489581,222.68776162857978
JPN,2005,0.127773,5.6723114692906504,44.393662740098854,20.687987723775606,1276.74156677859,3.6471882469392565,61.71414947773285,225.08312064503968
JPN,2006,0.127854,5.75285740682816,44.99552150756457,20.65174345134122,1252.2071508241593,3.589823628659617,60.6344521843668,217.66698916227165
JPN,2007,0.128001,5.84802594344433,45.68734575077015,20.47654927219762,1265.9579362740103,3.501446380406699,61.8247693713162,216.4761149346741
JPN,2008,0.128063,5.78407900761991,45.165887161943026,20.21111128591119,1273.0655413550242,3.494266115536319,62.98839897252239,220.0982282015677
JPN,2009,0.128047,5.470748521782469,42.724534911262815,18.541630432351035,1110.188748973501,3.3892309906999407,59.87546526849483,202.93178247056062
JPN,2010,0.12807000000000002,5.70009811474441,44.50767638591715,19.68355965853084,1182.449474219476,3.4531966401798404,60.07294893467115,207.44370542690152
JPN,2011,0.127833,5.6935166708075196,44.53870808639021,18.66688305599032,1192.0852995634077,3.278620953496351,63.860972182008716,209.37592150658136
JPN,2012,0.12762900000000002,5.778636370123559,45.2768286997748,18.561379018147065,1284.438171400406,3.212069046966211,69.19950129484658,222.273576174675
JPN,2013,0.127445,5.89423738811886,46.24926351068194,18.41317069429805,1274.608507303516,3.123927572278285,69.22265200627398,216.24655122862404
JPN,2014,0.127276,5.91402226746279,46.46612297261691,17.94829438217215,1240.8276141415583,3.0348709508448057,69.1334556766608,209.8111163646148
JPN,2015,0.127141,5.98614011053786,47.08268859406376,17.690324334431445,1206.570590987628,2.95521387868784,68.20511417301873,201.56070000159363
JPN,2016,0.126994511,6.04591296741537,47.607671542712346,17.669232524273394,1191.1942371043817,2.9225085805075683,67.41629753686016,197.02470801752506
